Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqe),https://plants.usda.gov/home/plantProfile?symbol=CROC80,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqf),https://plants.usda.gov/home/plantProfile?symbol=CRPA10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqg),https://plants.usda.gov/home/plantProfile?symbol=CRPAO,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqh),https://plants.usda.gov/home/plantProfile?symbol=CRPU4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqi),https://plants.usda.gov/home/plantProfile?symbol=CRRE4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqj),https://plants.usda.gov/home/plantProfile?symbol=CRSP2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqk),https://plants.usda.gov/home/plantProfile?symbol=CRTR12,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aql),https://plants.usda.gov/home/plantProfile?symbol=CRVE5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqm),https://plants.usda.gov/home/plantProfile?symbol=CRVI14,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqn),https://plants.usda.gov/home/plantProfile?symbol=CRVIG,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqo),https://plants.usda.gov/home/plantProfile?symbol=CRAR5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqp),https://plants.usda.gov/home/plantProfile?symbol=CRBO4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqq),https://plants.usda.gov/home/plantProfile?symbol=CRGL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqr),https://plants.usda.gov/home/plantProfile?symbol=CRTR8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqs),https://plants.usda.gov/home/plantProfile?symbol=CRAN11,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqt),https://plants.usda.gov/home/plantProfile?symbol=CRLA13,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqu),https://plants.usda.gov/home/plantProfile?symbol=CRPE10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqv),https://plants.usda.gov/home/plantProfile?symbol=CRVU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqw),https://plants.usda.gov/home/plantProfile?symbol=CRVUB,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqx),https://plants.usda.gov/home/plantProfile?symbol=CRVUV,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqy),https://plants.usda.gov/home/plantProfile?symbol=CRAL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021aqz),https://plants.usda.gov/home/plantProfile?symbol=CRSC,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ar),https://plants.usda.gov/home/plantProfile?symbol=ACPA2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ara),https://plants.usda.gov/home/plantProfile?symbol=CRVA2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arb),https://plants.usda.gov/home/plantProfile?symbol=CRSH6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arc),https://plants.usda.gov/home/plantProfile?symbol=CRTO4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ard),https://plants.usda.gov/home/plantProfile?symbol=CRBE10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021are),https://plants.usda.gov/home/plantProfile?symbol=CRWA4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arf),https://plants.usda.gov/home/plantProfile?symbol=CRWE4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arg),https://plants.usda.gov/home/plantProfile?symbol=CRJA3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arh),https://plants.usda.gov/home/plantProfile?symbol=CRGR6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ari),https://plants.usda.gov/home/plantProfile?symbol=CRMA10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021arj),https://plants.usda.gov/home/plantProfile?symbol=CRCA9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
